epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.939,0.84159,1.3729,1.34114,0.44447,0.46458,0.41546,0.20462,1.61626,2.52719,2.62633,0.000475124,0.000475124,0.000475124
2,1067.54,0.94614,1.22851,1.40718,0.3259,0.64986,0.51263,0.34486,1.1791,2.01795,1.7573,0.000942038,0.000942038,0.000942038
3,1646.65,0.89318,1.1363,1.36024,0.17367,0.44601,0.19081,0.06449,2.30548,2.76946,4.13023,0.00139952,0.00139952,0.00139952
4,2297.07,0.83815,1.00135,1.31605,0.80331,0.8111,0.8694,0.68576,0.85191,0.83353,1.36173,0.00138656,0.00138656,0.00138656
5,2860.2,0.78565,0.93566,1.27397,0.62044,0.76805,0.84378,0.70005,0.70556,1.1081,1.26691,0.00137241,0.00137241,0.00137241
6,3468.96,0.76132,0.88201,1.26274,0.75083,0.78699,0.86586,0.69887,0.73661,1.00589,1.29305,0.00135826,0.00135826,0.00135826
7,4131.52,0.74636,0.81234,1.26095,0.69876,0.83965,0.8896,0.69908,0.77787,0.89281,1.30728,0.00134412,0.00134412,0.00134412
8,4688.92,0.70927,0.79576,1.22436,0.9264,0.92771,0.95852,0.84934,0.54162,0.50577,1.07906,0.00132997,0.00132997,0.00132997
9,5357.17,0.69331,0.73229,1.21353,0.88177,0.92385,0.95707,0.81874,0.64425,0.54725,1.16434,0.00131582,0.00131582,0.00131582
10,5922.33,0.68239,0.71141,1.19636,0.64678,0.77691,0.83076,0.71045,0.63989,1.47247,1.17933,0.00130168,0.00130168,0.00130168
11,6532.83,0.66397,0.678,1.19354,0.88697,0.87818,0.9489,0.82557,0.57179,0.55718,1.10849,0.00128753,0.00128753,0.00128753
12,7196.88,0.65407,0.63927,1.17675,0.96327,0.89635,0.96881,0.83945,0.60946,0.47937,1.1381,0.00127338,0.00127338,0.00127338
13,7837.32,0.65052,0.62768,1.16936,0.85434,0.87555,0.93999,0.79498,0.6569,0.66433,1.15963,0.00125923,0.00125923,0.00125923
14,8465.13,0.6374,0.60958,1.16622,0.90927,0.93359,0.97452,0.87219,0.51911,0.44209,1.03156,0.00124509,0.00124509,0.00124509
15,9075.54,0.6371,0.59238,1.16729,0.94325,0.92523,0.96708,0.84763,0.57273,0.46089,1.07411,0.00123094,0.00123094,0.00123094
